stg_id,location_name,raw_date,temp_max_raw,temp_min_raw,precipitation,windspeed_max,weathercode,sunrise,sunset,loaded_at
61,Accra,2026-06-23,29.2,23.2,1.7,13.7,53,2026-06-23 05:49:00+00,2026-06-23 18:16:00+00,2026-06-24 16:02:54.428272+00
63,London,2026-06-23,34.1,19.0,1.0,15.5,51,2026-06-23 04:44:00+00,2026-06-23 21:22:00+00,2026-06-24 16:02:54.428272+00
62,Kumasi,2026-06-23,27.7,21.3,1.3,8.5,53,2026-06-23 05:53:00+00,2026-06-23 18:23:00+00,2026-06-24 16:02:54.428272+00
64,Lagos,2026-06-23,28.8,25.8,1.8,11.6,53,2026-06-23 06:33:00+00,2026-06-23 19:03:00+00,2026-06-24 16:02:54.428272+00
58,Kumasi,2026-06-23,27.7,21.3,1.3,8.5,53,2026-06-23 05:53:00+00,2026-06-23 18:23:00+00,2026-06-24 16:02:42.229262+00
60,Lagos,2026-06-23,28.8,25.8,1.8,11.6,53,2026-06-23 06:33:00+00,2026-06-23 19:03:00+00,2026-06-24 16:02:42.229262+00
59,London,2026-06-23,34.1,19.0,1.0,15.5,51,2026-06-23 04:44:00+00,2026-06-23 21:22:00+00,2026-06-24 16:02:42.229262+00
57,Accra,2026-06-23,29.2,23.2,1.7,13.7,53,2026-06-23 05:49:00+00,2026-06-23 18:16:00+00,2026-06-24 16:02:42.229262+00
55,London,2026-06-23,34.1,19.0,1.0,15.5,51,2026-06-23 04:44:00+00,2026-06-23 21:22:00+00,2026-06-24 16:02:30.690125+00
53,Accra,2026-06-23,29.2,23.2,1.7,13.7,53,2026-06-23 05:49:00+00,2026-06-23 18:16:00+00,2026-06-24 16:02:30.690125+00
56,Lagos,2026-06-23,28.8,25.8,1.8,11.6,53,2026-06-23 06:33:00+00,2026-06-23 19:03:00+00,2026-06-24 16:02:30.690125+00
54,Kumasi,2026-06-23,27.7,21.3,1.3,8.5,53,2026-06-23 05:53:00+00,2026-06-23 18:23:00+00,2026-06-24 16:02:30.690125+00
49,Accra,2026-06-23,29.2,23.2,1.7,13.7,53,2026-06-23 05:49:00+00,2026-06-23 18:16:00+00,2026-06-24 16:02:17.727494+00
50,Kumasi,2026-06-23,27.7,21.3,1.3,8.5,53,2026-06-23 05:53:00+00,2026-06-23 18:23:00+00,2026-06-24 16:02:17.727494+00
51,London,2026-06-23,34.1,19.0,1.0,15.5,51,2026-06-23 04:44:00+00,2026-06-23 21:22:00+00,2026-06-24 16:02:17.727494+00
52,Lagos,2026-06-23,28.8,25.8,1.8,11.6,53,2026-06-23 06:33:00+00,2026-06-23 19:03:00+00,2026-06-24 16:02:17.727494+00
48,Lagos,2026-06-23,28.8,25.8,1.8,11.6,53,2026-06-23 06:33:00+00,2026-06-23 19:03:00+00,2026-06-24 16:02:03.986993+00
46,Kumasi,2026-06-23,27.7,21.3,1.3,8.5,53,2026-06-23 05:53:00+00,2026-06-23 18:23:00+00,2026-06-24 16:02:03.986993+00
45,Accra,2026-06-23,29.2,23.2,1.7,13.7,53,2026-06-23 05:49:00+00,2026-06-23 18:16:00+00,2026-06-24 16:02:03.986993+00
47,London,2026-06-23,34.1,19.0,1.0,15.5,51,2026-06-23 04:44:00+00,2026-06-23 21:22:00+00,2026-06-24 16:02:03.986993+00
